director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination,title,comb
Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Drama,,Simon Pegg Juno Temple Alexandra Daddario Katharine O'Brien Drama,lost transmissions,
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,Drama History War,,Jesse Eisenberg Ed Harris Clémence Poésy Jonathan Jakubowicz Drama History War,resistance,
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Drama Comedy,,Mamoudou Athie Courtney B. Vance Niecy Nash Prentice Penny Drama Comedy,uncorked,
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Comedy Action,,Ed Helms Taraji P. Henson Betty Gilpin Michael Dowse Comedy Action,coffee & kareem,
Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,Animation Family Comedy Fantasy Adventure Music,,Anna Kendrick Justin Timberlake Rachel Bloom Walt Dohrn Animation Family Comedy Fantasy Adventure Music,trolls world tour,
Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,Comedy Romance,,Olivia Munn Sam Claflin Freida Pinto Dean Craig Comedy Romance,love wedding repeat,
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Family Comedy,,Seth Carr Tichina Arnold Ken Marino Jay Karas Family Comedy,the main event,
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Horror Thriller,,Alexandra Daddario Keean Johnson Logan Miller Marc Meyers Horror Thriller,we summon the darkness,
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Horror Comedy,,Cody Renee Cameron Russell Coker Robin Sydney Charles Band Horror Comedy,corona zombies,
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Drama,,Wagner Moura Ana de Armas Garret Dillahunt Greg Barker Drama,sergio,
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,Animation Comedy Family,,Will Forte Maya Rudolph Alessia Cara Kris Pearn Animation Comedy Family,the willoughbys,
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Drama Action Thriller,,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave Drama Action Thriller,extraction,
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Comedy Drama TV Movie,,Hugh Jackman Allison Janney Geraldine Viswanathan Cory Finley Comedy Drama TV Movie,bad education,
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,,Camila Mendes Jessie T. Usher Jamie Chung Michael Scott Thriller,dangerous lies,
Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Drama,,Ashton Sanders Jeffrey Wright Yahya Abdul-Mateen II Joe Robert Cole Drama,all day and a night,
Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Comedy Romance,,Leah Lewis Daniel Diemer Alexxis Lemire Alice Wu Comedy Romance,the half of it,
Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,Comedy Romance,,Jessica Rothe Josh Whitehouse Mae Whitman Rachel Lee Goldenberg Comedy Romance,valley girl,
Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,Crime Drama,,Tom Hardy Linda Cardellini Jack Lowden Josh Trank Crime Drama,capone,
Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,Comedy Romance,,David Spade Lauren Lapkus Geoff Pierson Tyler Spindel Comedy Romance,the wrong missy,
Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,Family Animation Comedy Adventure,,Will Forte Mark Wahlberg Jason Isaacs Tony Cervone Family Animation Comedy Adventure,scoob!,
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Horror Thriller Mystery,,Mary J. Blige Nat Wolff David Zayas Malik Vitthal Horror Thriller Mystery,body cam,
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Action Comedy Romance,,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter Action Comedy Romance,the lovebirds,
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Thriller Drama Mystery,,Lily Collins Simon Pegg Chace Crawford Vaughn Stein Thriller Drama Mystery,inheritance,
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Romance Comedy Music Drama,,Dakota Johnson Tracee Ellis Ross Kelvin Harrison Jr. Nisha Ganatra Romance Comedy Music Drama,the high note,
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,Drama Thriller,,Elisabeth Moss Michael Stuhlbarg Odessa Young Josephine Decker Drama Thriller,shirley,
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Action Crime Thriller,,Édgar Ramírez Anna Brewster Michael Pitt Olivier Megaton Action Crime Thriller,the last days of american crime,
"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,Thriller Action Horror,,"Lulu Wilson Kevin James Joel McHale Jonathan Milott, Cary Murnion Thriller Action Horror",becky,
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure Fantasy Science Fiction Family Action,,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh Adventure Fantasy Science Fiction Family Action,artemis fowl,
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,War Drama,,Delroy Lindo Jonathan Majors Clarke Peters Spike Lee War Drama,da 5 bloods,
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Comedy Drama,,Pete Davidson Marisa Tomei Bill Burr Judd Apatow Comedy Drama,the king of staten island,
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sasha Piltsin,Action,,Chad Michael Collins Tom Berenger Sasha Piltsin Kaare Andrews Action,sniper: assassin's end,
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Drama History Thriller,,Penélope Cruz Édgar Ramírez Gael García Bernal Olivier Assayas Drama History Thriller,wasp network,
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Comedy Music,,Will Ferrell Rachel McAdams Dan Stevens David Dobkin Comedy Music,eurovision song contest: the story of fire saga,
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Comedy Drama,,Steve Carell Chris Cooper Mackenzie Davis Jon Stewart Comedy Drama,irresistible,
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family Action Comedy,,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal Family Action Comedy,my spy,
